<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	07:01:00	1.06969	1.06979	1.06969	1.06976	5	0	79
2023.01.02	07:02:00	1.06970	1.06984	1.06970	1.06972	7	0	75
2023.01.02	07:03:00	1.06971	1.06973	1.06971	1.06971	5	0	86
2023.01.02	07:04:00	1.06971	1.06977	1.06970	1.06970	4	0	81
2023.01.02	07:05:00	1.06973	1.06974	1.06967	1.06967	3	0	81
2023.01.02	07:06:00	1.06969	1.06970	1.06964	1.06965	5	0	82
2023.01.02	07:08:00	1.06959	1.06959	1.06922	1.06925	14	0	32
2023.01.02	07:11:00	1.06896	1.06921	1.06857	1.06906	30	0	12
2023.01.02	07:12:00	1.06906	1.06927	1.06906	1.06912	13	0	33
2023.01.02	07:13:00	1.06911	1.06914	1.06911	1.06914	4	0	88
2023.01.02	07:14:00	1.06917	1.06937	1.06917	1.06937	6	0	73
2023.01.02	07:15:00	1.06937	1.06937	1.06937	1.06937	1	0	79
2023.01.02	07:16:00	1.06937	1.06937	1.06937	1.06937	1	0	80
2023.01.02	07:17:00	1.06937	1.06937	1.06937	1.06937	1	0	79
2023.01.02	07:18:00	1.06937	1.06937	1.06937	1.06937	1	0	80
2023.01.02	07:19:00	1.06937	1.06937	1.06937	1.06937	1	0	80
2023.01.02	07:21:00	1.06937	1.06937	1.06937	1.06937	1	0	80
2023.01.02	07:23:00	1.06937	1.06940	1.06937	1.06940	14	0	75
2023.01.02	07:24:00	1.06939	1.06945	1.06905	1.06922	11	0	9
2023.01.02	07:25:00	1.06923	1.06934	1.06898	1.06898	7	0	9
2023.01.02	07:26:00	1.06897	1.06897	1.06897	1.06897	1	0	86
2023.01.02	07:28:00	1.06897	1.06898	1.06897	1.06897	5	0	85
2023.01.02	07:29:00	1.06897	1.06899	1.06897	1.06897	11	0	73
2023.01.02	07:30:00	1.06897	1.06897	1.06897	1.06897	1	0	76
2023.01.02	07:31:00	1.06898	1.06898	1.06897	1.06897	2	0	75
2023.01.02	07:32:00	1.06898	1.06898	1.06897	1.06897	2	0	75
2023.01.02	07:33:00	1.06898	1.06898	1.06897	1.06897	2	0	75
2023.01.02	07:34:00	1.06898	1.06898	1.06898	1.06898	1	0	75
2023.01.02	07:35:00	1.06899	1.06953	1.06898	1.06951	19	0	6
